cvg,mae,timestamp,checkpoint_dir_name,done,training_iteration,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,experiment_tag,config/a,config/b,config/c,config/tau,config/E,config/T,config/dist_type,config/gene_process,config/mode,config/r,config/n_clients,config/n_sim,config/base_seed
1.0,0.043662880271508324,1746065975,,True,1,2025-05-01_02-19-35,3.067563056945801,3.067563056945801,2328353,qMxak3,172.17.0.3,3.067563056945801,1,"19_E=5,T=1000,a=0.5100,c=2,tau=0.3000",0.51,0,2,0.3,5,1000,normal,hete,federated,0.25,10,100,2025
1.0,0.04960406284664451,1746065975,,True,1,2025-05-01_02-19-35,3.4477345943450928,3.4477345943450928,2328345,qMxak3,172.17.0.3,3.4477345943450928,1,"20_E=log,T=1000,a=0.5100,c=2,tau=0.3000",0.51,0,2,0.3,log,1000,normal,hete,federated,0.25,10,100,2025
1.0,0.056582422929749264,1746065980,,True,1,2025-05-01_02-19-40,3.9516594409942627,3.9516594409942627,2337355,qMxak3,172.17.0.3,3.9516594409942627,1,"23_E=log,T=1000,a=0.6000,c=2,tau=0.3000",0.6,0,2,0.3,log,1000,normal,hete,federated,0.25,10,100,2025
0.0,0.549383867638012,1746065984,,True,1,2025-05-01_02-19-44,2.2293779850006104,2.2293779850006104,2340739,qMxak3,172.17.0.3,2.2293779850006104,1,"27_E=1,T=1000,a=0.8000,c=2,tau=0.3000",0.8,0,2,0.3,1,1000,normal,hete,federated,0.25,10,100,2025
1.0,0.07217494541813811,1746065985,,True,1,2025-05-01_02-19-45,3.763587713241577,3.763587713241577,2340614,qMxak3,172.17.0.3,3.763587713241577,1,"26_E=log,T=1000,a=0.7000,c=2,tau=0.3000",0.7,0,2,0.3,log,1000,normal,hete,federated,0.25,10,100,2025
1.0,0.05058981785890117,1746065984,,True,1,2025-05-01_02-19-44,2.826323986053467,2.826323986053467,2340637,qMxak3,172.17.0.3,2.826323986053467,1,"25_E=5,T=1000,a=0.7000,c=2,tau=0.3000",0.7,0,2,0.3,5,1000,normal,hete,federated,0.25,10,100,2025
1.0,0.04510290052260006,1746065980,,True,1,2025-05-01_02-19-40,3.4667410850524902,3.4667410850524902,2337354,qMxak3,172.17.0.3,3.4667410850524902,1,"22_E=5,T=1000,a=0.6000,c=2,tau=0.3000",0.6,0,2,0.3,5,1000,normal,hete,federated,0.25,10,100,2025
0.96,0.3438826770317471,1746065980,,True,1,2025-05-01_02-19-40,2.0213449001312256,2.0213449001312256,2338550,qMxak3,172.17.0.3,2.0213449001312256,1,"24_E=1,T=1000,a=0.7000,c=2,tau=0.3000",0.7,0,2,0.3,1,1000,normal,hete,federated,0.25,10,100,2025
1.0,0.059630278591541186,1746065988,,True,1,2025-05-01_02-19-48,1.8734626770019531,1.8734626770019531,2348989,qMxak3,172.17.0.3,1.8734626770019531,1,"28_E=5,T=1000,a=0.8000,c=2,tau=0.3000",0.8,0,2,0.3,5,1000,normal,hete,federated,0.25,10,100,2025
0.98,0.06999920634711537,1746065994,,True,1,2025-05-01_02-19-54,2.8451387882232666,2.8451387882232666,2351267,qMxak3,172.17.0.3,2.8451387882232666,1,"31_E=5,T=1000,a=0.9000,c=2,tau=0.3000",0.9,0,2,0.3,5,1000,normal,hete,federated,0.25,10,100,2025
